!XU,p
!XU,t
!XU,k
!XU,ph
!XU,th
!XU,kh
!XU,t\'
!XU,k\'
!XU,b
!XU,d
!XU,g
!XU,gh
!XU,d-
!XU,b\'
!XU,d\'
!XU,g\'
!XU,ts
!XU,tsh
!XU,ts-
!XU,ts\'
!XU,dzh
!XU,dz-
!XU,tS
!XU,tSh
!XU,tS-
!XU,tS\'
!XU,dZh
!XU,dZ-
!XU,dZ\'
!XU,s
!XU,S
!XU,x
!XU,z
!XU,Z
!XU,hh
!XU,m
!XU,n
!XU,N
!XU,mh
!XU,m*
!XU,m:
!XU,N9
!XU,r[
!XU,w
!XU,j
!XU,|
!XU,|x
!XU,|h
!XU,hn|?
!XU,hn|x?
!XU,g|x
!XU,g|x?
!XU,g|h
!XU,n|
!XU,n|h
!XU,/
!XU,/x
!XU,/h
!XU,hn/?
!XU,hn/h
!XU,g/
!XU,g/x
!XU,g/h
!XU,g/x?
!XU,n/
!XU,n/h
!XU,/=
!XU,/=x
!XU,/=h
!XU,hn/=?
!XU,hn/=x?
!XU,hn/=h
!XU,g/=
!XU,g/=x
!XU,g/=h
!XU,g/=x?
!XU,#j
!XU,#jx
!XU,#jh
!XU,hn#j?
!XU,hn#jx?
!XU,hn#jh
!XU,g#j
!XU,g#jx
!XU,g#jh
!XU,g#jx?
!XU,n/=
!XU,n/=h
!XU,n#j
!XU,n#jh
!XU,i
!XU,\"e
!XU,a9
!XU,a
!XU,\"o9
!XU,\"o
!XU,u
!XU,i:
!XU,\"e:
!XU,a9:
!XU,a:
!XU,\"o9:
!XU,\"o:
!XU,u:
!XU,i~
!XU,a9~
!XU,a~
!XU,\"o~
!XU,u~
!XU,a9~:
!XU,a~:
!XU,O9~:
!XU,u~:
!XU,ei
!XU,ei~
!XU,eu~
!XU,ae9
!XU,ao9
!XU,ao9~
!XU,ae
!XU,ao
!XU,oi9
!XU,oi9~
!XU,oi
!XU,oi~
!XU,ia
!XU,oa9
!XU,oa9~
!XU,oe
!XU,oa
!XU,oa~
!XU,ui
!XU,ui~
!XU,t-
!XU,dz\'
!XU,hn|h
!XU,hn/x?
!XU,\"o9~
!XU,eu
!XU,ae9~
!XU,g|
AKAN,djjF
AKAN,djjFW
AKAN,f
AKAN,CW
AKAN,m
AKAN,h
AKAN,i
AKAN,i~
AKAN,I
AKAN,I~
AKAN,e
AKAN,a
AKAN,a~
AKAN,u
AKAN,u~
AKAN,U
AKAN,U~
AKAN,o
AKAN,O
AKAN,j
AKAN,th
AKAN,E
AKAN,d
AKAN,s
AKAN,n
AKAN,r
AKAN,nj
AKAN,njW
AKAN,wj
AKAWAIO,p
AKAWAIO,\"t
AKAWAIO,k
AKAWAIO,b
AKAWAIO,\"d
AKAWAIO,g
AKAWAIO,\"s
AKAWAIO,\"z
AKAWAIO,m
AKAWAIO,\"n
AKAWAIO,\"rr
AKAWAIO,j
AKAWAIO,w
AKAWAIO,i
AKAWAIO,\"e
AKAWAIO,a
AKAWAIO,\"o
AKAWAIO,u
AKAWAIO,i_
AKAWAIO,\"@
AKAWAIO,ai
AKAWAIO,au
AKAWAIO,Oi
ALABAMA,p
ALABAMA,b
ALABAMA,tD
ALABAMA,k
ALABAMA,tS
ALABAMA,P
ALABAMA,s
ALABAMA,m
ALABAMA,\"n
ALABAMA,\"l
ALABAMA,\"hlF
ALABAMA,h
ALABAMA,e
ALABAMA,a
ALABAMA,o
ALABAMA,j
ALABAMA,w
ALAMBLAK,ph
ALAMBLAK,th
ALAMBLAK,kh
ALAMBLAK,b
ALAMBLAK,d
ALAMBLAK,g
ALAMBLAK,tS
ALAMBLAK,dZ
ALAMBLAK,P
ALAMBLAK,x
ALAMBLAK,s
ALAMBLAK,S
ALAMBLAK,m
ALAMBLAK,n
ALAMBLAK,n_
ALAMBLAK,j
ALAMBLAK,w
ALAMBLAK,i
ALAMBLAK,i_
ALAMBLAK,u
ALAMBLAK,\"e
ALAMBLAK,\"@
ALAMBLAK,\"o
ALAMBLAK,rT
ALAMBLAK,a
ALAWA,m
ALAWA,n
ALAWA,n.
ALAWA,N
ALAWA,r
ALAWA,j
ALAWA,n_
ALAWA,nd_
ALAWA,mb
ALAWA,nd
ALAWA,nd.
ALAWA,Ng
ALAWA,w
ALAWA,l
ALAWA,l.
ALAWA,l_
ALAWA,I
ALAWA,a
ALAWA,\"e
ALAWA,UU
ALAWA,p
ALAWA,t
ALAWA,t_
ALAWA,t.
ALAWA,k
ALAWA,rA
ALBANIAN,p
ALBANIAN,b
ALBANIAN,tD
ALBANIAN,dD
ALBANIAN,k
ALBANIAN,g
ALBANIAN,\"ts
ALBANIAN,\"dz
ALBANIAN,tS
ALBANIAN,dZ
ALBANIAN,cC
ALBANIAN,djjF
ALBANIAN,f
ALBANIAN,v
ALBANIAN,0D
ALBANIAN,6D
ALBANIAN,sD
ALBANIAN,zD
ALBANIAN,S
ALBANIAN,Z
ALBANIAN,m
ALBANIAN,n
ALBANIAN,n_
ALBANIAN,l
ALBANIAN,l-
ALBANIAN,\"r
ALBANIAN,h
ALBANIAN,i
ALBANIAN,y
ALBANIAN,\"e
ALBANIAN,\"@
ALBANIAN,u
ALBANIAN,\"o
ALBANIAN,a
ALBANIAN,j
ALEUT,\"t
ALEUT,k
ALEUT,q
ALEUT,\"ts
ALEUT,6D
ALEUT,S
ALEUT,Z
ALEUT,x
ALEUT,gF
ALEUT,X
ALEUT,RF
ALEUT,m
ALEUT,hm
ALEUT,\"hn
ALEUT,hN
ALEUT,\"n
ALEUT,N
ALEUT,\"l
ALEUT,\"hlF
ALEUT,h
ALEUT,i
ALEUT,a
ALEUT,u
ALEUT,j
ALEUT,w
ALEUT,hj
ALEUT,hw
ALLADIAN,p
ALLADIAN,c
ALLADIAN,k
ALLADIAN,kp
ALLADIAN,b
ALLADIAN,d
ALLADIAN,dj
ALLADIAN,g
ALLADIAN,gb
ALLADIAN,f
ALLADIAN,h
ALLADIAN,v
ALLADIAN,s
ALLADIAN,S
ALLADIAN,z
ALLADIAN,Z
ALLADIAN,m
ALLADIAN,n
ALLADIAN,nj
ALLADIAN,r[
ALLADIAN,l
ALLADIAN,j
ALLADIAN,w
ALLADIAN,i
ALLADIAN,I
ALLADIAN,e
ALLADIAN,E
ALLADIAN,a
ALLADIAN,O
ALLADIAN,o
ALLADIAN,u
ALLADIAN,E~
ALLADIAN,a~
ALLADIAN,O~
ALLADIAN,wj
ALLADIAN,t
AMAHUACA,p
AMAHUACA,\"t
AMAHUACA,k
AMAHUACA,tS
AMAHUACA,0D
AMAHUACA,\"s
AMAHUACA,x
AMAHUACA,m
AMAHUACA,\"n
AMAHUACA,\"r[
AMAHUACA,?
AMAHUACA,h
AMAHUACA,I
AMAHUACA,I~
AMAHUACA,a
AMAHUACA,a~
AMAHUACA,uu
AMAHUACA,uu~
AMAHUACA,\"o
AMAHUACA,\"o~
AMAHUACA,j
AMAHUACA,w
AMELE,t
AMELE,k
AMELE,?
AMELE,b
AMELE,d
AMELE,g
AMELE,gb
AMELE,f
AMELE,h
AMELE,jF
AMELE,s
AMELE,m
AMELE,n
AMELE,l
AMELE,w
AMELE,i
AMELE,E
AMELE,aa
AMELE,O
AMELE,u
AMHARIC,p
AMHARIC,p\'
AMHARIC,b
AMHARIC,\"t
AMHARIC,\"t\'
AMHARIC,\"d
AMHARIC,k
AMHARIC,k\'
AMHARIC,kW\'
AMHARIC,g
AMHARIC,tS
AMHARIC,tS\'
AMHARIC,dZ
AMHARIC,f
AMHARIC,\"s
AMHARIC,\"sW
AMHARIC,\"z
AMHARIC,S
AMHARIC,Z
AMHARIC,m
AMHARIC,\"n
AMHARIC,nj
AMHARIC,\"l
AMHARIC,r[
AMHARIC,h
AMHARIC,hW
AMHARIC,i
AMHARIC,\"e
AMHARIC,i_
AMHARIC,\"@
AMHARIC,a
AMHARIC,u
AMHARIC,\"o
AMHARIC,w
AMHARIC,j
AMHARIC,gW
AMHARIC,kW
AMO,p
AMO,b
AMO,m
AMO,f
AMO,v
AMO,kp
AMO,gb
AMO,w
AMO,t
AMO,d
AMO,n
AMO,s
AMO,z
AMO,ts
AMO,l
AMO,r
AMO,nj
AMO,S
AMO,tS
AMO,dZ
AMO,j
AMO,k
AMO,g
AMO,N
AMO,h
AMO,i
AMO,I
AMO,e
AMO,E
AMO,a
AMO,4
AMO,O
AMO,o
AMO,U
AMO,u
AMUESHA,p
AMUESHA,pJ
AMUESHA,t
AMUESHA,k
AMUESHA,tsh
AMUESHA,t.sh
AMUESHA,tSh
AMUESHA,tSJh
AMUESHA,B
AMUESHA,s
AMUESHA,z.
AMUESHA,S
AMUESHA,x
AMUESHA,gF
AMUESHA,m
AMUESHA,mJ
AMUESHA,n
AMUESHA,nj
AMUESHA,lJ
AMUESHA,\"r[
AMUESHA,?
AMUESHA,e
AMUESHA,a
AMUESHA,o
AMUESHA,j
AMUESHA,w
AMUZGO,p
AMUZGO,t
AMUZGO,t_
AMUZGO,k
AMUZGO,kJ
AMUZGO,kW
AMUZGO,?
AMUZGO,mb
AMUZGO,nd_
AMUZGO,Ng
AMUZGO,ts
AMUZGO,tS
AMUZGO,h
AMUZGO,B
AMUZGO,s
AMUZGO,S
AMUZGO,m
AMUZGO,n
AMUZGO,n_
AMUZGO,r[
AMUZGO,r
AMUZGO,l
AMUZGO,j
AMUZGO,w
AMUZGO,i
AMUZGO,\"e
AMUZGO,aa
AMUZGO,a
AMUZGO,a_)
AMUZGO,\"o
AMUZGO,u
AMUZGO,\"e~
AMUZGO,aa~
AMUZGO,a~
AMUZGO,a_)~
AMUZGO,\"o~
AMUZGO,nd
ANDAMANESE,p
ANDAMANESE,\"t
ANDAMANESE,tS
ANDAMANESE,k
ANDAMANESE,b
ANDAMANESE,\"d
ANDAMANESE,dZ
ANDAMANESE,g
ANDAMANESE,m
ANDAMANESE,\"n
ANDAMANESE,nj
ANDAMANESE,N
ANDAMANESE,\"l
ANDAMANESE,\"rA
ANDAMANESE,w
ANDAMANESE,j
ANDAMANESE,i
ANDAMANESE,\"e
ANDAMANESE,E
ANDAMANESE,aa
ANDAMANESE,a
ANDAMANESE,O
ANDAMANESE,\"o
ANDAMANESE,u
ANDOKE,p
ANDOKE,tD
ANDOKE,k
ANDOKE,?
ANDOKE,b
ANDOKE,dD
ANDOKE,tS
ANDOKE,dZ
ANDOKE,P
ANDOKE,h
ANDOKE,rD
ANDOKE,i
ANDOKE,i_
ANDOKE,u
ANDOKE,\"e
ANDOKE,\"@
ANDOKE,\"o
ANDOKE,3
ANDOKE,a+
ANDOKE,a_)
ANDOKE,i~
ANDOKE,\"e~
ANDOKE,\"@~
ANDOKE,\"o~
ANDOKE,a+~
ANDOKE,a_~
ANGAATIHA,p
ANGAATIHA,t
ANGAATIHA,k
ANGAATIHA,?
ANGAATIHA,tS
ANGAATIHA,m
ANGAATIHA,n
ANGAATIHA,nj
ANGAATIHA,N
ANGAATIHA,l[
ANGAATIHA,j
ANGAATIHA,w
ANGAATIHA,i
ANGAATIHA,\"e
ANGAATIHA,a
ANGAATIHA,\"o
ANGAATIHA,u
ANGAATIHA,a:
ANGAATIHA,\"@S
ANGAATIHA,ai
ANGAATIHA,au
ANGAS,p
ANGAS,b
ANGAS,b<
ANGAS,t
ANGAS,d
ANGAS,d<
ANGAS,c
ANGAS,dj
ANGAS,dj<
ANGAS,k
ANGAS,g
ANGAS,tS
ANGAS,dZ
ANGAS,f
ANGAS,v
ANGAS,s
ANGAS,z
ANGAS,S
ANGAS,Z
ANGAS,gF
ANGAS,m
ANGAS,n
ANGAS,nj
ANGAS,N
ANGAS,l
ANGAS,r
ANGAS,h
ANGAS,i:
ANGAS,I
ANGAS,E
ANGAS,i_:
ANGAS,a
ANGAS,a:
ANGAS,u
ANGAS,u:
ANGAS,j
ANGAS,w
ANGAS,3i
ANGAS,e
ANGAS,o
ANGAS,pJ
ANGAS,bJ
ANGAS,mJ
AO,i
AO,e
AO,a
AO,uu
AO,u
AO,o
AO,p
AO,t
AO,cC
AO,k
AO,?
AO,s
AO,z
AO,m
AO,n
AO,l
AO,N
AO,l.F
AO,w
AO,j
APINAYE,p
APINAYE,t
APINAYE,k
APINAYE,tS
APINAYE,v
APINAYE,\"s
APINAYE,Z
APINAYE,mb
APINAYE,ndj
APINAYE,Ng
APINAYE,r.[
APINAYE,?
APINAYE,i
APINAYE,i~
APINAYE,e
APINAYE,E
APINAYE,E~
APINAYE,a
APINAYE,a~
APINAYE,u
APINAYE,u~
APINAYE,uu
APINAYE,uu~
APINAYE,o
APINAYE,o~
APINAYE,o(
APINAYE,O
APINAYE,^
APINAYE,^~
APINAYE,nd
ARABELA,p
ARABELA,\"t
ARABELA,k
ARABELA,\"s
ARABELA,S
ARABELA,m
ARABELA,\"n
ARABELA,\"r
ARABELA,j
ARABELA,w
ARABELA,h
ARABELA,i
ARABELA,\"e
ARABELA,a
ARABELA,\"o
ARABELA,u
ARABELA,au
ARABELA,ai
ARABIC,tD
ARABIC,tD9
ARABIC,dD
ARABIC,k
ARABIC,g
ARABIC,dD9
ARABIC,dZ
ARABIC,f
ARABIC,sD
ARABIC,sD9
ARABIC,zD9
ARABIC,S
ARABIC,X
ARABIC,RF
ARABIC,9
ARABIC,H
ARABIC,m
ARABIC,nD
ARABIC,lD
ARABIC,?
ARABIC,h
ARABIC,b
ARABIC,a
ARABIC,aa:
ARABIC,U
ARABIC,u:
ARABIC,o:
ARABIC,I
ARABIC,i:
ARABIC,j
ARABIC,w
ARABIC,e:
ARABIC,zD
ARABIC,r
ARABIC,q
ARAUCANIAN,p
ARAUCANIAN,tD
ARAUCANIAN,t
ARAUCANIAN,t.0
ARAUCANIAN,k
ARAUCANIAN,tS
ARAUCANIAN,P
ARAUCANIAN,0D
ARAUCANIAN,s
ARAUCANIAN,m
ARAUCANIAN,nD
ARAUCANIAN,n
ARAUCANIAN,nj
ARAUCANIAN,N
ARAUCANIAN,lD
ARAUCANIAN,l
ARAUCANIAN,lj
ARAUCANIAN,6.
ARAUCANIAN,i
ARAUCANIAN,E
ARAUCANIAN,a
ARAUCANIAN,u
ARAUCANIAN,uu
ARAUCANIAN,O
ARAUCANIAN,j
ARAUCANIAN,w
ARCHI,p:
ARCHI,?
ARCHI,\"t:
ARCHI,k:
ARCHI,ph
ARCHI,\"th
ARCHI,kh
ARCHI,b
ARCHI,\"d
ARCHI,g
ARCHI,p\'
ARCHI,\"t\'
ARCHI,k\'
ARCHI,\"tsh
ARCHI,tSh
ARCHI,\"ts\'
ARCHI,tS\'
ARCHI,\"ts\':
ARCHI,tS\':
ARCHI,qX
ARCHI,qX9
ARCHI,qX\'
ARCHI,qX9\'
ARCHI,qX\':
ARCHI,qX9\':
ARCHI,\"tlFh
ARCHI,\"tlF\'
ARCHI,X
ARCHI,X9
ARCHI,H
ARCHI,h
ARCHI,X:
ARCHI,X9:
ARCHI,RF
ARCHI,RF9
ARCHI,9
ARCHI,\"s
ARCHI,S
ARCHI,\"s:
ARCHI,S:
ARCHI,\"z
ARCHI,Z
ARCHI,\"hlF
ARCHI,\"hlF:
ARCHI,\"lF
ARCHI,m
ARCHI,\"n
ARCHI,\"rr
ARCHI,\"l
ARCHI,j
ARCHI,w
ARCHI,kW:
ARCHI,\"tWh
ARCHI,kWh
ARCHI,\"dW
ARCHI,gW
ARCHI,kW\'
ARCHI,\"tsW\'
ARCHI,tSW\'
ARCHI,qXW
ARCHI,qXW9
ARCHI,qXW\'
ARCHI,qXW9\'
ARCHI,\"tlFWh
ARCHI,\"tlFW\'
ARCHI,XW
ARCHI,XW9
ARCHI,XW:
ARCHI,XW9:
ARCHI,RFW
ARCHI,RFW9
ARCHI,\"sW
ARCHI,SW
ARCHI,\"sW:
ARCHI,\"zW
ARCHI,ZW
ARCHI,\"hlFW
ARCHI,\"hlFW:
ARCHI,i
ARCHI,\"e
ARCHI,a
ARCHI,\"o
ARCHI,u
ARCHI,i9
ARCHI,\"e9
ARCHI,a9
ARCHI,\"o9
ARCHI,u9
ARCHI,\"tsWh
ARCHI,tSWh
ARCHI,SW:
ARMENIAN,p
ARMENIAN,ph
ARMENIAN,p\'
ARMENIAN,k
ARMENIAN,kh
ARMENIAN,k\'
ARMENIAN,tS
ARMENIAN,tSh
ARMENIAN,tS\'
ARMENIAN,f
ARMENIAN,v
ARMENIAN,S
ARMENIAN,Z
ARMENIAN,X
ARMENIAN,m
ARMENIAN,6.
ARMENIAN,RA
ARMENIAN,h
ARMENIAN,i
ARMENIAN,ie
ARMENIAN,a
ARMENIAN,u
ARMENIAN,\"o
ARMENIAN,j
ARMENIAN,tD
ARMENIAN,tDh
ARMENIAN,tD\'
ARMENIAN,tDs
ARMENIAN,tDsh
ARMENIAN,tDs\'
ARMENIAN,sD
ARMENIAN,zD
ARMENIAN,nD
ARMENIAN,r
ARMENIAN,lD
ARMENIAN,\"e
ARRERNTE,p
ARRERNTE,tD
ARRERNTE,t
ARRERNTE,t.
ARRERNTE,k
ARRERNTE,t_
ARRERNTE,d_n
ARRERNTE,n_
ARRERNTE,l_
ARRERNTE,bm
ARRERNTE,dn
ARRERNTE,d.n
ARRERNTE,gn
ARRERNTE,m
ARRERNTE,nD
ARRERNTE,n
ARRERNTE,n.
ARRERNTE,N
ARRERNTE,lD
ARRERNTE,l
ARRERNTE,l.
ARRERNTE,r[
ARRERNTE,r.A
ARRERNTE,j
ARRERNTE,w
ARRERNTE,gA
ARRERNTE,i
ARRERNTE,a
ARRERNTE,u
ARRERNTE,dDn
ASHUSLAY,p
ASHUSLAY,p*
ASHUSLAY,\"t
ASHUSLAY,\"t*
ASHUSLAY,k
ASHUSLAY,k*
ASHUSLAY,?
ASHUSLAY,f
ASHUSLAY,\"s
ASHUSLAY,S
ASHUSLAY,x
ASHUSLAY,\"ts
ASHUSLAY,\"ts*
ASHUSLAY,tS
ASHUSLAY,tS*
ASHUSLAY,m
ASHUSLAY,\"n
ASHUSLAY,w
ASHUSLAY,j
ASHUSLAY,i
ASHUSLAY,\"e
ASHUSLAY,a
ASHUSLAY,a_
ASHUSLAY,\"o
ASHUSLAY,u
ASHUSLAY,\"l
ASHUSLAY,hxlF
ASHUSLAY,klF
ASMAT,p
ASMAT,t
ASMAT,k
ASMAT,tS
ASMAT,f
ASMAT,s
ASMAT,m
ASMAT,n
ASMAT,r[
ASMAT,jF
ASMAT,i
ASMAT,e
ASMAT,a
ASMAT,u
ASMAT,O
ASMAT,\"@
ASMAT,w
ATAYAL,p
ATAYAL,\"t
ATAYAL,k
ATAYAL,q
ATAYAL,?
ATAYAL,m
ATAYAL,\"n
ATAYAL,N
ATAYAL,B
ATAYAL,\"s
ATAYAL,Z
ATAYAL,x
ATAYAL,gF
ATAYAL,H
ATAYAL,\"ts
ATAYAL,w
ATAYAL,j
ATAYAL,i
ATAYAL,E
ATAYAL,a
ATAYAL,O
ATAYAL,i:
ATAYAL,u:
ATAYAL,u
ATAYAL,\"r[
ATAYAL,\"l
AUCA,p
AUCA,t
AUCA,k
AUCA,b
AUCA,d
AUCA,g
AUCA,m
AUCA,n
AUCA,nj
AUCA,N
AUCA,w
AUCA,i
AUCA,\"e
AUCA,aa
AUCA,a
AUCA,\"o
AUCA,i~
AUCA,\"e~
AUCA,aa~
AUCA,a~
AUCA,\"o~
AVAR,ph
AVAR,\"th
AVAR,kh
AVAR,b
AVAR,\"d
AVAR,g
AVAR,99
AVAR,p\'
AVAR,\"t\'
AVAR,k\'
AVAR,\"tsh
AVAR,tSh
AVAR,\"ts:
AVAR,tS:
AVAR,\"ts\'
AVAR,tS\'
AVAR,\"ts\':
AVAR,tS\':
AVAR,kx:
AVAR,qX:
AVAR,kx\':
AVAR,qX\':
AVAR,\"tlF:
AVAR,\"tlF\':
AVAR,f
AVAR,X
AVAR,H
AVAR,h
AVAR,x:
AVAR,X:
AVAR,\"s
AVAR,S
AVAR,\"s:
AVAR,S:
AVAR,\"z
AVAR,Z
AVAR,\"hlF
AVAR,\"hlF:
AVAR,m
AVAR,\"n
AVAR,\"rr
AVAR,\"l
AVAR,j
AVAR,w
AVAR,i
AVAR,\"e
AVAR,a
AVAR,\"o
AVAR,u
AWIYA,p
AWIYA,b
AWIYA,\"t
AWIYA,d.
AWIYA,k
AWIYA,kW
AWIYA,g
AWIYA,gW
AWIYA,q
AWIYA,qW
AWIYA,G
AWIYA,GW
AWIYA,\"ts
AWIYA,\"dz
AWIYA,tS
AWIYA,dZ
AWIYA,f
AWIYA,\"s
AWIYA,\"z
AWIYA,S
AWIYA,m
AWIYA,\"n
AWIYA,N
AWIYA,NW
AWIYA,\"l
AWIYA,\"r[
AWIYA,i
AWIYA,\"e
AWIYA,i_
AWIYA,a
AWIYA,u
AWIYA,\"o
AWIYA,j
AWIYA,w
AWIYA,aa
AZANDE,p
AZANDE,b
AZANDE,m
AZANDE,f
AZANDE,v
AZANDE,kp
AZANDE,gb
AZANDE,w
AZANDE,t
AZANDE,d
AZANDE,s
AZANDE,z
AZANDE,nj
AZANDE,j
AZANDE,k
AZANDE,g
